file_id	parakeet_wer	fused_wer	subs_negation	subs_laterality	subs_numeric	p_neg_correct	p_neg_total	f_neg_correct	f_neg_total	p_lat_correct	p_lat_total	f_lat_correct	f_lat_total	p_num_correct	p_num_total	f_num_correct	f_num_total
MSK0014	13.29	13.22	1	0	0	27	32	28	32	7	7	7	7	12	13	12	13
MSK0015	15.20	15.26	0	0	1	59	59	59	59	6	6	6	6	7	10	7	10
MSK0016	19.69	19.69	0	0	0	50	52	50	52	9	9	9	9	22	32	22	32
MSK0017	26.83	26.89	1	0	0	64	66	64	66	16	17	16	17	7	15	7	15
MSK0018	24.68	24.48	2	0	0	30	42	32	42	6	6	6	6	2	12	2	12
MSK0019	16.01	16.01	0	0	0	47	55	47	55	11	11	11	11	3	12	3	12
MSK0020	24.70	24.70	1	0	0	61	65	61	65	4	4	4	4	15	18	15	18
MSK0021	21.20	21.20	1	0	2	58	61	58	61	17	17	17	17	10	17	10	17
MSK0022	14.79	14.79	0	0	0	30	31	30	31	3	3	3	3	14	19	14	19
MSK0023	14.54	14.54	1	0	0	23	26	23	26	11	11	11	11	6	10	6	10
MSK0024	11.78	11.78	0	0	1	22	23	22	23	6	6	6	6	11	11	11	11
MSK0025	14.17	14.17	0	0	0	29	30	29	30	10	10	10	10	16	21	16	21
MSK0026	12.21	12.14	0	0	1	38	38	38	38	14	14	14	14	9	13	10	13
MSK0027	15.33	15.48	2	0	0	57	57	57	57	2	2	2	2	4	7	4	7
MSK0028	14.92	14.86	1	0	0	35	44	36	44	10	10	10	10	7	9	7	9
MSK0029	21.83	21.88	2	0	0	60	63	60	63	8	8	8	8	6	11	6	11
MSK0031	26.65	26.65	1	0	0	32	34	32	34	12	12	12	12	8	15	8	15
MSK0032	23.01	22.93	1	0	0	39	49	40	49	7	7	7	7	4	8	4	8
MSK0033	14.01	14.01	0	0	0	34	37	34	37	18	18	18	18	12	14	12	14
MSK0034	13.64	13.64	1	0	0	32	32	32	32	10	10	10	10	10	13	10	13
MSK0035	14.88	14.88	0	0	0	46	47	46	47	8	8	8	8	6	10	6	10
MSK0036	12.88	12.88	0	0	0	49	50	49	50	15	16	15	16	9	15	9	15
MSK0037	15.94	15.88	2	0	0	67	69	68	69	4	4	4	4	13	18	13	18
MSK0038	24.81	24.76	1	0	0	60	65	61	65	7	7	7	7	7	10	7	10
MSK0039	29.64	29.50	2	0	0	51	59	53	59	8	8	8	8	7	13	7	13
MSK0040	15.29	15.29	0	0	0	50	50	50	50	13	13	13	13	5	10	5	10
MSK0041	22.54	22.61	2	0	0	50	53	51	53	9	9	9	9	8	13	8	13
MSK0042	17.78	17.78	0	0	0	64	72	64	72	7	7	7	7	4	6	4	6
MSK0043	25.41	25.41	1	0	0	23	26	23	26	8	9	8	9	12	19	12	19
MSK0044	30.96	30.96	2	0	0	27	29	27	29	10	11	10	11	2	7	2	7
MSK0045	26.54	26.54	1	0	1	25	26	26	26	11	11	11	11	5	10	5	10
MSK0046	19.74	19.74	0	0	0	20	20	20	20	7	9	7	9	9	14	9	14
MSK0049	21.64	21.64	0	0	0	40	41	40	41	10	10	10	10	9	13	9	13
MSK0050	14.48	14.48	0	0	0	37	40	37	40	6	6	6	6	3	3	3	3
RES0001	19.93	20.00	2	0	0	56	58	56	58	2	3	2	3	4	12	4	12
RES0002	25.66	25.57	1	0	0	35	35	35	35	2	2	2	2	13	17	13	17
RES0003	16.53	16.53	3	0	1	37	39	39	39	2	2	2	2	9	15	9	15
RES0004	21.08	21.02	1	0	0	48	50	49	50	3	3	3	3	15	19	15	19
RES0005	16.20	16.20	0	0	0	37	41	37	41	1	1	1	1	22	28	22	28
RES0006	15.67	15.51	2	0	0	40	46	42	46	1	1	1	1	13	16	13	16
RES0007	15.61	15.67	2	0	0	23	27	24	27	0	1	0	1	11	14	11	14
RES0008	16.05	16.05	1	0	1	14	15	14	15	3	4	3	4	7	11	7	11
RES0009	26.45	26.45	2	0	0	40	43	40	43	4	6	4	6	8	14	8	14
RES0010	22.20	22.20	0	0	0	38	39	38	39	2	2	2	2	3	4	3	4
RES0011	22.41	22.28	2	0	0	42	47	44	47	1	1	1	1	17	19	17	19
RES0012	30.80	30.75	1	0	0	44	51	45	51	8	9	8	9	6	13	6	13
RES0013	27.06	27.06	2	0	0	37	38	37	38	5	5	5	5	7	10	7	10
