subdir	provider	fid	words_fixed	words_buggy	fixed_err	buggy_err
benchmark_results_cloud_figshare-osce	assemblyai	RES0147	1274	1234	186	244
benchmark_results_cloud_figshare-osce	assemblyai	RES0158	1079	1034	103	175
benchmark_results_cloud_figshare-osce	assemblyai	RES0154	943	922	110	152
benchmark_results_cloud_figshare-osce	assemblyai	RES0150	1147	1099	140	212
benchmark_results_cloud_figshare-osce	assemblyai	RES0153	1103	1063	117	187
benchmark_results_cloud_figshare-osce	assemblyai	RES0151	1157	1125	108	164
benchmark_results_cloud_figshare-osce	assemblyai	RES0152	1059	1028	113	172
benchmark_results_cloud_figshare-osce	assemblyai	RES0161	1034	993	121	181
benchmark_results_cloud_figshare-osce	assemblyai	RES0155	1439	1380	165	254
benchmark_results_cloud_figshare-osce	assemblyai	RES0156	1016	983	111	167
benchmark_results_cloud_figshare-osce	assemblyai	RES0160	1135	1093	128	188
benchmark_results_cloud_figshare-osce	assemblyai	RES0159	1104	1060	80	156
benchmark_results_cloud_figshare-osce	assemblyai	RES0163	1200	1155	136	200
benchmark_results_cloud_figshare-osce	assemblyai	RES0169	946	906	127	188
benchmark_results_cloud_figshare-osce	assemblyai	RES0165	909	881	99	152
benchmark_results_cloud_figshare-osce	assemblyai	RES0162	1235	1183	131	207
benchmark_results_cloud_figshare-osce	assemblyai	RES0172	1195	1148	135	217
benchmark_results_cloud_figshare-osce	assemblyai	RES0170	1351	1300	170	254
benchmark_results_cloud_figshare-osce	assemblyai	RES0166	1155	1117	145	200
benchmark_results_cloud_figshare-osce	assemblyai	RES0164	1248	1197	171	253
benchmark_results_cloud_figshare-osce	assemblyai	RES0167	1181	1132	140	216
benchmark_results_cloud_figshare-osce	assemblyai	RES0168	1329	1271	144	243
benchmark_results_cloud_figshare-osce	assemblyai	RES0171	1368	1306	131	224
benchmark_results_cloud_figshare-osce	assemblyai	RES0175	1017	979	109	172
benchmark_results_cloud_figshare-osce	assemblyai	RES0173	1262	1210	168	246
benchmark_results_cloud_figshare-osce	assemblyai	RES0178	1125	1082	156	225
benchmark_results_cloud_figshare-osce	assemblyai	RES0174	1549	1484	181	288
benchmark_results_cloud_figshare-osce	assemblyai	RES0179	1291	1254	161	222
benchmark_results_cloud_figshare-osce	assemblyai	RES0177	1193	1151	132	205
benchmark_results_cloud_figshare-osce	assemblyai	RES0182	945	919	113	152
benchmark_results_cloud_figshare-osce	assemblyai	RES0185	1075	1026	128	201
benchmark_results_cloud_figshare-osce	assemblyai	RES0176	1305	1269	145	206
benchmark_results_cloud_figshare-osce	assemblyai	RES0180	1065	1020	129	199
benchmark_results_cloud_figshare-osce	assemblyai	RES0181	1184	1154	156	206
benchmark_results_cloud_figshare-osce	assemblyai	RES0184	970	946	128	164
benchmark_results_cloud_figshare-osce	assemblyai	RES0188	957	932	103	150
benchmark_results_cloud_figshare-osce	assemblyai	RES0183	1217	1178	146	216
benchmark_results_cloud_figshare-osce	assemblyai	RES0186	1069	1020	120	211
